Station,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Asem Bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,3.23,46.67,100,100,100,100,100,41.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,100,96.77,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,3.33,0,0,0,0,0,0,0,0,0,0,0,0,83.87,96.67,100,100,100,100,100,100,100,29.03,41.94,100,100,43.33,100
Astanajapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,100,100,100,100,100,87.1,13.33,87.1,86.67,100,100,100,100,100,90.32,100,100,100,76.67,61.29,100,100,100,100,96.77,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Atambua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,41.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,100,96.77,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,3.33,0,0,0,0,0,0,0,0,0,0,0,0,83.87,96.67,96.77,100,100,100,100,100,100,35.48,100,100,100,100,100
Badung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,50,20,50,50,50,50,50,50,50,46.775,50,50,50,50,50,50,50,46.775,0,0,0,0,0,0,0,1.665,50,48.335,50,50,48.215,0,100,98.385,95,95.16,100,100,80.645,58.335,100,100,100,100,100,98.385,100,100,100,100,100,100,100
Bahodopi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,96.77,73.33,0,0,0,0,0,96.77,100,100,100,100,96.77,80,80.65,100,100,100,100,100,20,54.84,100,100,100,100,100,100,100,0,100,100,100,100,96.77,93.33,96.77,86.67,25.81,38.71,27.59,93.55,6.67,51.61,100,100,100,100,100,76.67,100
Baing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,96.67,77.42,100,93.33,100,100,96.77,100,100,100,100,100,100,100,100,100,100,100,90.32,100,100,100,100,93.55,100,100,16.13,0,0,0,0,87.1,3.45,0,0,0,0,3.23,0,30,96.77,100,100,96.77,96.43,96.77,96.67,100,93.33,100,100,100,100,90,100,100,100,100,100,100,100,100,100,3.33,0,0,0,0,0,0,0,0,0,0,0,0,83.87,86.67,100,100,100,100,100,100,100,100,100,100,48.39,100,100
Bajawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,45.16,100,100,100,20,0,0,0,77.42,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Balaesang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,96.43,100,100,93.55,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,80.65,87.1,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Balaesang Tanjung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,93.33,0,0,0,90.32,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,64.52,100,100,100,100
Balai Besar Wilayah I Medan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,58.06,0,19.35,100,93.55,83.87,92.86,87.1,100,100,100,100,100,100,100,100,22.58,100,100,100,100,48.39,0,0,64.52,76.67,25.81,100,100,100,3.45,0,0,0,3.33,0,0,10,90.32,100,87.1,100,100,100,100,93.55,100,100,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,90.32,100,96.77,100,100,0,96.67,100,100,96.77,96.77,66.67,58.06,66.67,67.74,29.03,41.38,77.42,70,19.35,90,77.42,77.42,83.33,96.77,96.67,93.55
Balai Besar Wilayah II Ciputat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,36.67,25.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,100,100,100,96.77,100,100,100,100,100,96.67,96.77,100,63.33,0,80,93.55,100,3.45,0,0,0,0,67.74,100,40,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,96.77,96.67,58.06,86.67,100,100,100,93.55,96.67,87.1,93.55,100,0,90,100,93.33,90.32,90.32,100,100,96.67,77.42,100,96.55,100,100,96.77,100,100,96.77,100,100,100,100
Balai Besar Wilayah III Denpasar Bali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,86.67,90.32,87.1,6.67,96.77,83.33,93.55,90.32,71.43,100,100,100,100,83.87,100,100,100,100,96.77,0,0,0,23.33,48.39,6.67,96.77,100,73.33,25.81,100,100,100,3.45,0,0,0,0,38.71,74.19,13.33,100,90,100,100,100,100,100,93.55,100,100,3.23,100,80.65,100,100,100,100,100,80,61.29,86.67,58.06,48.39,96.67,45.16,56.67,67.74,74.19,78.57,0,100,100,90,80.65,93.55,100,83.87,96.67,100,100,100,100,100,100,93.33,90.32,100,96.67,100,100,100
Balai Besar Wilayah IV Makassar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,96.77,90,100,83.33,87.1,61.29,71.43,77.42,100,100,100,100,100,100,100,100,96.77,100,100,96.77,100,80.65,96.67,96.77,100,80,25.81,100,100,100,3.45,0,0,0,0,67.74,100,40,100,100,100,100,100,96.77,76.67,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,87.1,100,100,3.23,100,96.77,100,100,0,100,100,100,100,100,96.67,100,40,70.97,100,100,100,100,100,100,100,100,80,6.45,6.67,0
Balai Besar Wilayah V Jayapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,74.19,80,74.19,77.42,3.33,54.84,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,96.67,96.77,61.29,40,25.81,100,100,100,3.45,0,0,0,0,67.74,100,40,100,96.67,100,100,100,100,86.67,6.45,83.33,100,100,100,100,46.67,80.65,100,100,100,100,100,100,58.06,90.32,100,100,90,96.77,100,100,0,100,100,100,100,100,100,87.1,93.33,77.42,96.77,96.55,96.77,100,87.1,100,100,83.87,100,100,100,96.77
Balaikota Jakarta,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.23,0,0,0,0,90.32,100,100,100,100,54.84,0,3.23,0,90,100,0,22.58,0,0,96.77,100,100,96.67,96.77,100,76.67,25.81,100,100,100,3.45,0,0,0,0,0,0,6.67,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,96.77,100,100,0,100,100,100,100,100,93.33,100,96.67,87.1,100,86.21,100,100,100,100,100,100,96.67,100,96.67,100
Balantak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,78.57,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Balikpapan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Banawa Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Banda Aceh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,80.65,30,100,100,96.77,100,100,100,100,93.55,100,100,100,100,100,100,93.55,93.55,92.86,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,13.33,100,100,100,100,96.67,87.1,100,100,100,100,100,100,100,100,100,100,100,100
Bandar Baru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,61.29,100,100,100,30,93.55,100,90.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,93.55,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,90,100
Banding Agung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,96.43,100,100,93.55,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
"Banggai Tengah, Banggai Laut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangkinang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.23,93.33,100,100,60.71,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,100,40,100,86.67,93.55,100,100,100,100,93.55,93.33,100,100,86.67,100,100,100,100,100,100,100,80.65,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,96.67,58.06,96.67,100,100,100,48.39,96.67,100,100,77.42,100,100,100,100,100
Banjar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,100,100,100,93.55,100,93.55,100,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,92.86,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Banjarnegara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.55,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86.67,83.87,73.33,77.42,19.35,57.14,0,100,100,100,93.55,100,100,100,96.67,100,100,100,100,100,100,96.67,100,100,100,100,100,100
Banjarsari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,36.67,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,16.13,100,100,100,100,100,100,100,100,100,100,100,0,96.67,100,100,100,70.97,100,100,96.67,93.55,100,89.66,100,100,100,100,100,100,100,100,100,100
Bantul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,100,86.67,96.77,66.67,77.42,19.35,7.14,0,93.33,87.1,86.67,100,96.77,100,100,96.67,100,100,100,100,100,96.77,100,100,100,100,100,100,100
Banyuglugur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,77.42,100,93.33,100,100,96.77,29.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,100,96.77,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,3.33,0,0,0,0,0,0,0,0,0,0,0,0,83.87,96.67,100,100,100,100,100,100,100,29.03,41.94,100,100,100,100
Banyuwangi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,77.42,100,66.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.87,96.67,100,100,100,100,100,100,100,29.03,41.94,100,100,100,100
Batukuning Lakitan Ulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,93.1,100,100,100,100,100,100,100,100,100,100
Bau Bau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,100,54.84,93.33,93.55,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,3.33,0,0,0,0,0,0,0,0,0,0,0,0,87.1,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Bawang BJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.52,93.55,23.33,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,96.67,100,100,100,100,100,100,96.67,87.1,100,100,96.77,100,100,100,100,100,96.67,100,100,87.1
Bawean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,100,96.77,100,93.55,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,3.33,0,0,0,0,0,0,0,0,0,0,0,0,6.45,96.67,96.77,100,100,100,100,100,100,29.03,19.35,90,100,100,100
